type_aliment,alim_nom_fr,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)","Energie, Règlement UE N° 1169/2011 (kcal/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fibres alimentaires (g/100 g),Cholestérol (mg/100 g),Calcium (mg/100 g),Fer (mg/100 g),Magnésium (mg/100 g),Potassium (mg/100 g),Zinc (mg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine C (mg/100 g)
fruit,Pomme de terre crue,322,77,79.9,2,17.6,0.1,0.8,2.1,0,11,0.7,23,411,0.3,0,0.01,19
fruit,Banane crue,389,93,74.9,1.1,20,0.3,12.2,2.6,0,5,0.3,27,358,0.2,0,0.02,8.7
dairy,Lait entier,267,64,87,3.2,4.8,3.5,4.8,0,14,120,0.1,12,155,0.4,1.3,0.09,1.2
other,Oeuf entier,594,143,75.3,12.6,0.7,9.5,0.7,0,373,56,1.8,12,138,1.3,1.8,0.97,0
meat,"Poulet, cuit",835,200,65.2,31,0,8.1,0,0,90,13,0.9,23,256,1,0.2,0.3,0
grain,Riz blanc cuit,515,123,68.4,2.7,28.1,0.3,0.1,1,0,10,0.1,12,35,0.4,0,0.01,0
fruit,Pomme crue,218,52,86,0.3,11.8,0.2,10.3,2.4,0,6,0.1,5,107,0,0,0.01,4.6
vegetable,Carotte crue,173,41,88.3,0.9,9.6,0.2,4.7,2.8,0,33,0.3,12,320,0.2,0,0.66,5.9
vegetable,Tomate crue,84,20,94.5,0.9,3.5,0.2,2.6,1.2,0,10,0.3,11,237,0.1,0,0.54,13.7
grain,"Blé complet, cuit",603,144,68,4.9,27.3,0.7,0.5,4.5,0,19,1.7,29,352,2.4,0,0.57,0
vegetable,"Pois chiche, cuit",686,164,60,8.9,27.4,2.6,4.8,7.6,0,49,2.9,48,291,2,0,0.82,0
vegetable,"Lentilles, cuites",463,111,69.6,8.9,20.1,0.4,1.7,7.9,0,19,3.3,36,369,1.3,0,0.15,1.5
vegetable,Haricots verts,133,31,90.2,1.8,6.6,0.2,3.3,2.7,0,37,1,25,209,0.3,0,0.41,12.2
vegetable,Brocoli cru,146,35,89.3,2.8,7.2,0.4,1.4,3.2,0,47,0.7,21,316,0.4,0,1.5,89.2
fruit,Orange crue,197,47,86.8,0.9,11.8,0.1,9.4,2.4,0,40,0.1,10,181,0.1,0,0.24,53.2
fruit,Poire crue,243,57,84.4,0.4,15.2,0.1,9.7,3.1,0,9,0.1,7,116,0.1,0,0.12,4.3
